serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2013-15092,"Newton, force at a distance, imperialism","牛頓,遠控力量,帝國主義",English,Tim Lilburn,,The Chinese University Press,978-962-996-605-8,,set,$,280.00,978-962-996-616-4,,pbk.,$,15.00,Hong Kong,2013,50 p. ; 17 cm.,Text in Chinese and English,
2013-14516,"LINDER, Birgit Bunzel Shadows in deferment",,English,Birgit Bunzel Linder,,Proverse Hong Kong,978-988-8227-17-4,,pbk.,$,98.00,,,,,,Hong Kong,2013,192 p. : col. ill. ; 21 cm.,,
2013-15373,Environment : recycling,,English,"LING, Rena",storied by Rena Ling ; illustrated by Ray Tam,Educational Publishing House Limited,978-988-230-188-7,,pbk.,$,22.00,,,,,,Hong Kong,2013,7 p. : col. ill. ; 17 x 19 cm.,The red series,
2013-15112,LITTLE luxe Hong Kong,,English,,,Luxe Limited,978-988-8132-28-7,,unbound,USD,9.99,,,,,,Hong Kong,2013,1 folded sheet (26 p.) : col. ill. ; 16 cm.,Luxe city guides,
2013-15115,LITTLE luxe Singapore,,English,,,Luxe Limited,978-988-8132-49-2,,unbound,USD,9.99,,,,,,Hong Kong,2013,1 folded sheet (26 p.) : col. ill. ; 16 cm.,Luxe city guides,
2013-14197,Liu Xiaodong : in between Israel and Palestine,"劉小東在以色列巴勒斯坦之間, 2013年4月",English,Hou Hanru,,Thircuir Limited,978-988-16079-6-6,,,,Unpriced,,,,,,Hong Kong,2013,unpaged ; ill. (some col.) ; 29 cm.,+ 1 DVD Text in simplified Chinese and English,
2013-13999,BeamHead animation art : BeamHead architectural rendering,冰河動畫:建築繪畫,English,Liu Yuetao,,A&J International Design Media Limited,978-988-15399-6-0,,pbk.,$,120.00,,,,,,Hong Kong,2013,51 p. : chiefly col. ill. ; 36 cm.,,
2013-15378,"LO, Bo Wok Summer : on a hot, hot day",,English,,storied by Bo Wok Lo ; illustrated by Pierre Wong,Educational Publishing House Limited,978-988-230-198-6,,pbk.,$,22.00,,,,,,Hong Kong,2013,7 p. : col. ill. ; 17 x 19 cm.,The blue series,
2013-13681,"LO, William H. C. Lo’s complete Romanization of the Chinese language",,English,William H.C. Lo,,"Lo, Hoi Chiu",978-988-15004-4-1,,pbk.,,Unpriced,,,,,,Hong Kong,2013,41 p. ; 30 cm.,Text partially in Chinese,
2013-12874,"LOHAS Tai Po. 2, Energy saving “butterfly effect” of 6 districts","樂活大埔. 2,節能社區:蝴蝶效應地區6",English,,coordinated by Tsang Man Lok … [et al.],Environmental Association Limited,978-988-15271-7-2,,pbk.,$,55.00,,,,,,Hong Kong,2013,126 p. : col. ill. ; 21 cm.,+ stickers Text in Chinese and English,
2013-15390,Environment : all that rubbish,,English,"LOK, Goldie",storied by Goldie Lok ; illustrated by Ng Wai Ting,Educational Publishing House Limited,978-988-230-207-5,,pbk.,$,22.00,,,,,,Hong Kong,2013,7 p. : col. ill. ; 17 x 19 cm.,The yellow series,
2013-12184,LONGLIFE GROUP HOLDINGS LIMITED Longlife Group Holdings Limited third quarterly report 2012-13,朗力福集團控股有限公司第三季度業績報告2012-13,English,,,Longlife Group Holdings Limited,,,,,,,,,,,Hong Kong,2013,"20, 20 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-12336,"LONGMAN activate. JS1, School-based edition",,English,Gary Harfitt ... [et al.],,Pearson Education Asia Limited,978-988-232-002-4,,pbk.,$,162.00,,,,,,Hong Kong,2013,95 p. : col. ill. ; 27 cm.,,2nd ed.
2013-12337,"LONGMAN activate. JS2, School-based edition",,English,Gary Harfitt ... [et al.],,Pearson Education Asia Limited,978-988-232-003-1,,pbk.,$,165.00,,,,,,Hong Kong,2013,95 p. : col. ill. ; 27 cm.,,2nd ed.
2013-12338,"LONGMAN activate. JS2, School-based edition",,English,Gary Harfitt ... [et al.],,Pearson Education Asia Limited,978-988-232-005-5,,pbk.,$,176.00,,,,,,Hong Kong,2013,"109, 24 p. : col. ill. ; 27 cm.",,2nd ed.
2013-12339,"LONGMAN activate. JS3, School-based edition",,English,Gary Harfitt ... [et al.],,Pearson Education Asia Limited,978-988-232-004-8,,pbk.,$,148.00,,,,,,Hong Kong,2013,95 p. : col. ill. ; 27 cm.,,2nd ed.
2013-12343,LONGMAN activate new senior secondary theme book,,English,,"John Potter, Sarah Rigby, Kitty Wong",Pearson Education Asia Limited,978-988-00-9873-4,,pbk.,$,160.00,,,,,,Hong Kong,2013,"113 p. : col. ill., col charts ; 27 cm.",,School-based ed.
2013-12344,LONGMAN activate new senior secondary theme book,,English,,"John Potter, Sarah Rigby, Kitty Wong",Pearson Education Asia Limited,978-988-232-008-6,,pbk.,$,160.00,,,,,,Hong Kong,2013,"113 p. : col. ill., col charts ; 27 cm.",,School-based ed.
2013-12334,"LONGMAN elect. JS1, School-based edition",,English,Gary Harfitt ... [et al.],,Pearson Education Asia Limited,978-988-232-046-8,,pbk.,$,88.00,,,,,,Hong Kong,2013,98 p. : col. ill. ; 27 cm.,,2nd ed.
2013-12335,"LONGMAN elect. JS3, School-based edition",,English,Gary Harfitt ... [et al.],,Pearson Education Asia Limited,978-988-232-047-5,,pbk.,$,88.00,,,,,,Hong Kong,2013,96 p. : col. ill. ; 27 cm.,,2nd ed.
2013-12340,LONGMAN elect new senior secondary theme book,,English,,"John Potter, Sarah Rigby, Kitty Wong",Pearson Education Asia Limited,978-988-232-009-3,,pbk.,$,160.00,,,,,,Hong Kong,2013,112 p. : col. ill. ; 27 cm.,,School-based ed.
2013-12341,LONGMAN elect new senior secondary theme book,,English,,"John Potter, Sarah Rigby, Kitty Wong",Pearson Education Asia Limited,978-988-232-010-9,,pbk.,$,200.00,,,,,,Hong Kong,2013,141 p. : col. ill. ; 27 cm.,,School-based ed.
2013-12342,LONGMAN elect new senior secondary theme book,,English,,"John Potter, Sarah Rigby, Kitty Wong",Pearson Education Asia Limited,978-988-00-8152-1,,pbk.,$,160.00,,,,,,Hong Kong,2013,113 p. : col. ill. ; 27 cm.,,School-based ed.
2013-13100,LONGMAN new senior liberal studies : energy technology and the environment. Worksheets. Integrated version,,English,,,Pearson Education Asia Limited,978-988-229-083-9,,pbk.,,Unpriced,,,,,,Hong Kong,2013,90 p. : ill. ; 26 cm.,,
2013-13099,LONGMAN new senior liberal studies : energy technology and the environment. Worksheets. Integrated version. Teacher’s edition,,English,,,Pearson Education Asia Limited,978-988-229-090-7,,pbk.,,Unpriced,,,,,,Hong Kong,2013,90 p. : ill. ; 26 cm.,,
2013-14048,LONGMAN new senior liberal studies : globalization. Integrated version,,English,Ngai Pak Kui,,Pearson Education Asia Limited,978-988-229-071-6,,pbk.,$,210.00,,,,,,Hong Kong,2013,"241 p. : col. ill., col. charts, col. maps ; 27 cm.",,
2013-14049,LONGMAN new senior liberal studies : globalization. Integrated version. Teacher’s book,,English,Ngai Pak Kui,,Pearson Education Asia Limited,978-988-229-078-5,,pbk.,,Unpriced,,,,,,Hong Kong,2013,"278 p. : col. ill., col. charts, col. maps ; 27 cm.",,
2013-14052,LONGMAN new senior liberal studies : Hong Kong today. Integrated version,,English,Leung Wai Yee ... [et al.],,Pearson Education Asia Limited,978-988-229-067-9,,pbk.,$,210.00,,,,,,Hong Kong,2013,"345 p. : col. ill., col. charts ; 27 cm.",,
2013-14053,LONGMAN new senior liberal studies : Hong Kong today. Integrated version. Teacher’s book,,English,Leung Wai Yee ... [et al.],,Pearson Education Asia Limited,978-988-229-074-7,,pbk.,,Unpriced,,,,,,Hong Kong,2013,"387 p. : col. ill., col. charts ; 27 cm.",,
2013-14046,LONGMAN new senior liberal studies : modern China. Integrated version,,English,Woo Tun Oy ... [et al.],,Pearson Education Asia Limited,978-988-229-068-6,,pbk.,$,200.00,,,,,,Hong Kong,2013,314 p. : col. ill. ; 27 cm.,,
2013-14047,LONGMAN new senior liberal studies : modern China. Integrated version. Teacher’s book,,English,Woo Tun Oy ... [et al.],,Pearson Education Asia Limited,978-988-229-075-4,,pbk.,,Unpriced,,,,,,Hong Kong,2013,352 p. : col. ill. ; 27 cm.,,
2013-13102,LONGMAN new senior liberal studies : personal development and interpersonal relationships. Worksheets. Integrated version,,English,,,Pearson Education Asia Limited,978-988-229-084-6,,pbk.,,Unpriced,,,,,,Hong Kong,2013,80 p. : ill. ; 26 cm.,,
2013-13101,LONGMAN new senior liberal studies : personal development and interpersonal relationships. Worksheets. Integrated version. Teacher’s edition,,English,,,Pearson Education Asia Limited,978-988-229-091-4,,pbk.,,Unpriced,,,,,,Hong Kong,2013,80 p. : ill. ; 26 cm.,,
2013-14050,LONGMAN new senior liberal studies : public health. Integrated version,,English,Wong-Cheung Ka Lee,,Pearson Education Asia Limited,978-988-229-072-3,,pbk.,$,200.00,,,,,,Hong Kong,2013,"219 p. : col. ill., col. charts, col. map ; 27 cm.",,
2013-14051,LONGMAN new senior liberal studies : public health. Integrated version. Teacher’s book,,English,,written by Wong-Cheung Ka Lee,Pearson Education Asia Limited,978-988-229-079-2,,pbk.,,Unpriced,,,,,,Hong Kong,2013,"244 p. : col. ill., col. charts, col. map ; 27 cm.",,
2013-14964,LONGMAN smart grammar. 1B,,English,N. Lau,,Pearson Education Asia Limited,978-988-224-964-6,,pbk.,$,50.00,,,,,,Hong Kong,2013,43 p. : col. ill. ; 27 cm.,+ answer key,
2013-14962,LONGMAN smart grammar. 2B,,English,Anthea H.Y. Cheung,,Pearson Education Asia Limited,978-988-224-966-0,,pbk.,$,50.00,,,,,,Hong Kong,2013,43 p. : col. ill. ; 27 cm.,+ answer key,
2013-14959,LONGMAN smart grammar. 3B,,English,N. Lau,,Pearson Education Asia Limited,978-988-224-968-4,,pbk.,$,50.00,,,,,,Hong Kong,2013,43 p. : col. ill. ; 27 cm.,+ answer key,
2013-14960,LONGMAN smart grammar. 4B,,English,Joshua Fung,,Pearson Education Asia Limited,978-988-224-970-7,,pbk.,$,50.00,,,,,,Hong Kong,2013,43 p. : col. ill. ; 27 cm.,+ answer key,
2013-14961,LONGMAN smart grammar. 5B,,English,Joshua Fung,,Pearson Education Asia Limited,978-988-224-972-1,,pbk.,$,50.00,,,,,,Hong Kong,2013,43 p. : col. ill. ; 27 cm.,+ answer key,
2013-14963,LONGMAN smart grammar. 6B,,English,Joshua Fung,,Pearson Education Asia Limited,978-988-224-974-5,,pbk.,$,50.00,,,,,,Hong Kong,2013,43 p. : col. ill. ; 27 cm.,+ answer key,
2013-14986,LOTUS : Tian Xing,荷:天行,English,,edited by Chan Yin Hing,Hong Kong International Art Association,978-988-17098-0-6,,pbk.,,Unpriced,,,,,,Hong Kong,2013,150 p. : chiefly col. ill. ; 28 cm.,Text in Chinese and English,
2013-15387,Winter : baked yams,,English,"LOU, Gigi",storied by Gigi Lou ; illustrated by Poon,Educational Publishing House Limited,978-988-230-208-2,,pbk.,$,22.00,,,,,,Hong Kong,2013,7 p. : col. ill. ; 17 x 19 cm.,The yellow series,
2013-12988,LOUDONG GENERAL NICE RESOURCES (CHINA) HOLDINGS LIMITED Loudong General Nice Resources (China) Holdings Limited 2013 interim report,樓東俊安資源(中國)控股有限公司2013中期報告,English,,,Loudong General Nice Resources (China) Holdings Limited,,,,,,,,,,,Hong Kong,2013,"30, 30 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-13107,LOVE to learn. Book 1A,愛學英語,English,,edited by Alan Sze ... [et al.],Nebula Group Limited,978-988-99613-2-9,,pbk.,$,100.00,978-988-99613-6-7,,exercise,$,,Hong Kong,2012,74 p. : col. ill. ; 27 cm.,+ 1 exercise book,
2013-13108,"LOVE to learn. Book 2A, Exercise book",愛學英語,English,,edited by Alan Sze ... [et al.],Nebula Group Limited,978-988-99613-7-4,,pbk.,$,100.00,,,,,,Hong Kong,2012,35 p. : col. ill. ; 27 cm.,,
2013-13109,LOVE to learn. Book 3A,愛學英語,English,,edited by Alan Sze ... [et al.],Nebula Group Limited,978-988-99613-4-3,,pbk.,$,100.00,978-988-99613-8-1,,exercise,$,,Hong Kong,2012,83 p. : col. ill. ; 27 cm.,+ 1 exercise book,
2013-13110,LOVE to learn. Book 5A,愛學英語,English,,"edited by Alan Sze, Kemmiss Pun, Kelly Koh",Nebula Group Limited,978-988-99613-0-5,,pbk.,$,100.00,,,,,,Hong Kong,2013,68 p. : col. ill. ; 27 cm.,,
2013-13111,LOVE to learn. Book 6A,愛學英語,English,,"edited by Alan Sze, Kemmiss Pun, Kelly Koh",Nebula Group Limited,978-988-99613-1-2,,pbk.,$,100.00,,,,,,Hong Kong,2013,66 p. : col. ill. ; 27 cm.,,
2013-12643,L’SEA RESOURCES INTERNATIONAL HOLDINGS LIMITED L’sea Resources International Holdings Limited 2013 interim report,利海資源國際控股有限公司2013中期報告,English,,,L’sea Resources International Holdings Limited,,,,,,,,,,,Hong Kong,2013,"44, 44 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-14927,Because I love you,,English,Max Lucado,,Rockway Limited,978-962-8457-17-5,,pbk.,,Unpriced,,,,,,Hong Kong,2013,32 p. : col. ill. ; 19 cm.,Text in English and Uyghur,
2013-14928,You are special,,English,Max Lucado,,Rockway Limited,978-962-8457-18-2,,pbk.,,Unpriced,,,,,,Hong Kong,2013,30 p. : col. ill. ; 19 cm.,Text in English and Uyghur,
2013-12540,LUEN THAI HOLDINGS LIMITED Luen Thai Holdings Limited annual report 201,聯泰控股有限公司2011年報,English,,,Luen Thai Holdings Limited,,,,,,,,,,,Hong Kong,2011,"116, 116 p. : col. ill., col. port ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-12541,LUEN THAI HOLDINGS LIMITED Luen Thai Holdings Limited annual report 2012,聯泰控股有限公司2012年報,English,,,Luen Thai Holdings Limited,,,,,,,,,,,Hong Kong,2012,"128, 128 p. : col. charts, col port ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-12542,LUEN THAI HOLDINGS LIMITED Luen Thai Holdings Limited interim report 2012,聯泰控股有限公司2012中期報告,English,,,Luen Thai Holdings Limited,,,,,,,,,,,Hong Kong,2012,"48, 48 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-12543,LUEN THAI HOLDINGS LIMITED Luen Thai Holdings Limited interim report 2013,聯泰控股有限公司2013中期報告,English,,,Luen Thai Holdings Limited,,,,,,,,,,,Hong Kong,2013,"52, 52 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-12906,Mother’s day,,English,"LUI, Ivy",storied by Ivy Lui ; illustrated by Dickie Seto,Educational Publishing House Limited,978-988-230-213-6,,pbk.,$,22.00,,,,,,Hong Kong,2013,7 p. : col. ill. ; 17 x 19 cm.,The green series ; Family,
2013-12903,A visit to the doctor,,English,"LUI, Ivy",storied by Ivy Lui ; illustrated by Ko Ngok,Educational Publishing House Limited,978-988-230-211-2,,pbk.,$,22.00,,,,,,Hong Kong,2013,7 p. : col. ill. ; 17 x 19 cm.,The green series ; People who help us,
2013-12973,"LUI, Shou Kwan Lui Shou-kwan : zen ink art",呂壽琨:禪的水墨藝術,English,,,Alisan Fine Arts Limited,978-988-99761-9-4,,pbk.,$,300.00,,,,,,Hong Kong,2013,51 p. : col. ill. ; 32 cm.,Includes index Text in Chinese and English,
2013-13177,LUKS GROUP (VIETNAM HOLDINGS) COMPANY LIMITED Luks Group (Vietnam Holdings) Company Limited interim report 2013,陸氏集團(越南控股)有限公司二零一三年中期報告,English,,,Luks Group (Vietnam Holdings) Company Limited,,,,,,,,,,,Hong Kong,2013,"26, 26 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-15118,LUXE Beijing,,English,,,Luxe Limited,978-988-8132-39-3,,unbound,,,978-988-8132-52-2,,set,,Unpriced,Hong Kong,2013,1 folded sheet (22 p.) ; 16 cm.,Luxe city guides,
2013-15113,LUXE Cambodia and Laos,,English,,,Luxe Limited,978-988-8132-42-3,,unbound,USD,9.99,,,,,,Hong Kong,2013,1 folded sheet (22 p.) ; 16 cm.,Luxe city guides,
2013-15110,LUXE Chiang Mai,,English,,,Luxe Limited,978-988-8132-24-9,,unbound,USD,9.99,,,,,,Hong Kong,2013,1 folded sheet (20 p.) ; 16 cm.,Luxe city guides,
2013-15117,LUXE Ho Chi Minh city,,English,,,Luxe Limited,978-988-8132-43-0,,unbound,USD,9.99,,,,,,Hong Kong,2013,1 folded sheet (18 p.) ; 16 cm.,Luxe city guides,
2013-15114,LUXE Hong Kong and Macau,,English,,,Luxe Limited,978-988-8132-40-9,,unbound,,,978-988-8132-52-2,,set,,Unpriced,Hong Kong,2013,1 folded sheet (24 p.) ; 16 cm.,Luxe city guides,
2013-15111,LUXE Shanghai,,English,,,Luxe Limited,978-988-8132-41-6,,unbound,,,978-988-8132-52-2,,set,,Unpriced,Hong Kong,2013,1 folded sheet (20 p.) ; 16 cm.,Luxe city guides,
2013-15116,LUXE Sri Lanka,,English,,,Luxe Limited,978-988-8132-26-3,,unbound,USD,9.99,,,,,,Hong Kong,2013,1 folded sheet (20 p.) ; 16 cm.,Luxe city guides,
2013-14506,LUXEHOMES annual edition 2013,尚府年鑑2013,English,,"edited by Winnie Chung, Raymond Cheng",South China Morning Post Publishers Limited,978-962-8148-05-9,,pbk.,$,198.00,,,,,,Hong Kong,2013,94 p. : col. ill. ; 25 x 29 cm.,Text in Chinese and English,
2013-14624,LUXEY INTERNATIONAL (HOLDINGS) LIMITED Luxey International (Holdings) Limited annual report 2013,薈萃國際(控股)有限公司2013年報,English,,,Luxey International (Holdings) Limited,,,,,,,,,,,Hong Kong,2013,180 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-14675,LUXEY INTERNATIONAL (HOLDINGS) LIMITED Luxey International (Holdings) Limited first quarterly report 2013/14,薈萃國際(控股)有限公司第一季度業績報告2013,English,14,,Luxey International (Holdings) Limited,,,,,,,,,,,Hong Kong,2013,"22, 22 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-15093,My own voice,我自己的聲音,English,Zeyar Lynn,,The Chinese University Press,978-962-996-617-1,,pbk.,$,15.00,978-962-996-605-8,,set,$,280.00,Hong Kong,2013,43 p. ; 17 cm.,Text in Chinese and English,
2013-14588,M DREAM INWORLD LIMITED M Dream Inworld Limited 2013 third quarterly report,聯夢活力世界有限公司2013第三季度業績報告,English,,,M Dream Inworld Limited,,,,,,,,,,,Hong Kong,2013,40 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-12989,MA Dongmin,馬東民,English,,,China Today Art Museum Publishing House Limited,978-988-12067-0-1,,,CNY,380.00,,,,,,Hong Kong,2013,167 p. : col ill. ; 30 cm.,Text in simplified Chinese and English,
2013-12491,MACAU LEGEND DEVELOPMENT LIMITED Macau Legend Development Limited 2013 interim report,澳門勵駿創建有限公司2013中期報告,English,,,Macau Legend Development Limited,,,,,,,,,,,Hong Kong,2013,"58, 58 p. : col. ill. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-13658,"Kiss me, Hadley",,English,Nick Macfie,,Earnshaw Books Limited,978-988-16164-8-7,,pbk.,USD,19.99,,,,,,Hong Kong,2013,228 p. ; 21 cm.,,
2013-14600,MAGIC HOLDINGS INTERNATIONAL LIMITED Magic Holdings International Limited annual report 2012/2013,美即控股國際有限公司年報2012,English,2013,,Magic Holdings International Limited,,,,,,,,,,,Hong Kong,2013,"116, 116 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-13120,MAINLAND HEADWEAR HOLDINGS LIMITED Mainland Headwear Holdings Limited interim report 2013,飛達帽業控股有限公司2013中期報告,English,,,Mainland Headwear Holdings Limited,,,,,,,,,,,Hong Kong,2013,"44, 44 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-14206,Quality English language education : enhancing language abilities of primary school learners,,English,Barley Mak,,"Education Bureau, Quality Education Fund Secretariat",978-988-17530-7-6,,pbk.,$,109.00,,,,,,Hong Kong,2013,267 p. : ill. (chiefly col.) ; 30 cm.,,
2013-14335,MALEONN Maleonn,馬良,English,,,Authentic Vision (HK) Limited,978-988-16943-5-5,,,$,469.00,,,,,,Hong Kong,2013,361 p. : col. ill. ; 21 x 29 cm.,,
2013-15245,MAN SANG INTERNATIONAL LIMITED Man Sang International Limited interim report 2013,民生國際有限公司2013中期報告,English,,,Man Sang International Limited,,,,,,,,,,,Hong Kong,2013,40 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-12692,MAN YUE TECHNOLOGY HOLDINGS LIMITED Man Yue Technology Holdings Limited interim report 2013,萬裕科技集團有限公司中期報告2013,English,,,Man Yue Technology Holdings Limited,,,,,,,,,,,Hong Kong,2013,"46, 46 p. ; 21 cm.",Glossary Text in Chinese and English Unpriced (pbk.),
2013-14061,"MASTER guide. Module D, Taxation",,English,,,HKCA Learning Media Limited,978-988-12928-4-1,,sp,$,360.00,,,,,,Hong Kong,2013,78 p. : ill. ; 30 cm.,,
2013-12171,MASTERCRAFT INTERNATIONAL HOLDINGS LIMITED Mastercraft International Holdings Limited interim report 2013,馬仕達國際控股有限公司中期報告2013,English,,,Mastercraft International Holdings Limited,,,,,,,,,,,Hong Kong,2013,"24, 24 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-12616,MATHEMATICS. Conventional questions. Compulsory part. Book A,,English,"W.H. Cheuk, C.K. Kwan",,Pan Lloyds Publishers Limited,978-988-8184-91-0,,pbk.,$,140.00,,,,,,Hong Kong,2013,342 p. : ill. ; 29 cm.,+ 1 solution guide (HKDSE exam series),
2013-15145,MATHEMATICS. Conventional questions. Compulsory part. Book B,,English,"W.H. Cheuk, C.K. Kwan",,Pan Lloyds Publishers Limited,978-988-8184-92-7,,pbk.,$,140.00,,,,,,Hong Kong,2013,"325 p. : ill., charts ; 29 cm.",+ 1 solution guide (HKDSE exam series),Upgraded ed.
2013-14329,MATHEMATICS higher level : study guide for the IB diploma,,English,,"edited by Nimal de Silva, Timothy T. Lee",Cana Academy Limited,978-988-16868-5-5,,pbk.,$,280.00,,,,,,Hong Kong,2013,230 p. : col. ill. ; 29 cm.,,
2013-12949,"MATHEMATICS in focus : graded consolidation exercise. 1A, For secondary 1-3",,English,,,Educational Publishing House Limited,978-988-225-844-0,,pbk.,,Unpriced,,,,,,Hong Kong,2013,152 p. : ill. ; 30 cm.,,
2013-14518,MATHEMATICS : inspiring revision exercises for junior secondary students. Form 2,,English,Ashley Wong,,Wise Spread Education Publishing,978-988-16740-0-5,,pbk.,$,88.00,,,,,,Hong Kong,2012,178 p : ill. ; 30 cm.,Inspiring series,
2013-15244,MATHS skills for senior forms. II,高中數學技巧. II,English,"P.H. Wong, S. Hong",,Favour Education Centre,978-988-18662-7-1,,pbk.,$,88.00,,,,,,Hong Kong,2013,"258, 80 p. : ill. ; 23 cm.",Text in Chinese and English,2nd ed.
2013-13753,MEET farmer Ben,,English,,texted and graphed by VINCI Learning,Rullingnet Corporation Limited,978-988-12720-0-3,,pbk.,USD,2.50,,,,,,Hong Kong,2013,14 p. : col. ill. ; 14 x 21 cm.,ViNCi,
2013-14199,MEGALOGIC TECHNOLOGY HOLDINGS LIMITED Megalogic Technology Holdings Limited third quarterly report 2013,宏創高科集團有限公司第三季度報告2013,English,,,Megalogic Technology Holdings Limited,,,,,,,,,,,Hong Kong,2013,"16, 16 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-12642,MEIKE INTERNATIONAL HOLDINGS LIMITED Meike International Holdings Limited interim report 2013,美克國際控股有限公司中期報告2013,English,,,Meike International Holdings Limited,,,,,,,,,,,Hong Kong,2013,"34, 34 p. : col. map ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-12475,MELCO CROWN ENTERTAINMENT LIMITED Melco Crown Entertainment Limited 2013 interim report,新濠博亞娛樂有限公司2013中期報告,English,,,Melco Crown Entertainment Limited,,,,,,,,,,,Hong Kong,2013,"138, 138 p. : col. ill. ; 28 cm.",Glossary Text in Chinese and English Unpriced (pbk.),
2013-12527,The blue butterfly,,English,"MENEZES, Sueli",texted by Sueli Menezes ; illustrated by Annika Siems,Michael Neugebauer (Publishing) Limited,978-988-15955-0-8,,,GBP,12.99,,,,,,Hong Kong,2013,unpaged : col. ill. ; 30 cm.,,
2013-12644,MERDEKA RESOURCES HOLDINGS LIMITED Merdeka Resources Holdings Limited interim report 2013,萬德資源集團有限公司二零一三年中期年報,English,,,Merdeka Resources Holdings Limited,,,,,,,,,,,Hong Kong,2013,"30, 30 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-13161,MIDLAND HOLDINGS LIMITED Midland Holdings Limited interim report 2013,美聯集團有限公司中期業績報告2013,English,,,Midland Holdings Limited,,,,,,,,,,,Hong Kong,2013,"36, 36 p. ; 25 cm.",Text in Chinese and English Unpriced (pbk.),
2013-13133,MIDLAND IC&I LIMITED Midland IC&I Limited interim report 2013,美聯工商舖有限公司中期業績報告2013,English,,,Midland IC&I Limited,,,,,,,,,,,Hong Kong,2013,"36, 36 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-15094,The theory of absence,缺席理論,English,Dunya Mikhail,,The Chinese University Press,978-962-996-618-8,,pbk.,$,15.00,978-962-996-605-8,,set,$,280.00,Hong Kong,2013,60 p. ; 17 cm.,"Text in Chinese, English and Arabian",
2013-15095,In the serious light of nothing,在嚴肅的虛無之光中,English,Peter Minter,,The Chinese University Press,978-962-996-619-5,,pbk.,$,15.00,978-962-996-605-8,,set,$,280.00,Hong Kong,2013,36 p. ; 17 cm.,Text in Chinese and English,
2013-12905,The singing monsters,,English,"MO, Meeni",storied by Meeni Mo ; illustrated by Poon,Educational Publishing House Limited,978-988-230-200-6,,pbk.,$,22.00,,,,,,Hong Kong,2013,7 p. : col. ill. ; 17 x 19 cm.,The yellow series ; School,
2013-14068,MODERN landscape design,,English,,edited by ICI Consultants,Design Media Publishing Limited,978-988-15660-8-9,,,USD,50.00,,,,,,Hong Kong,2013,"471 p. : col. ill., plans ; 33 cm.",Text in English and French,
2013-13170,MODERN MEDIA HOLDINGS LIMITED Modern Media Holdings Limited interim report 2013,現代傳播控股有限公司中期報告2013,English,,,Modern Media Holdings Limited,,,,,,,,,,,Hong Kong,2013,"56, 56 p. ; 29 cm.",Unpriced (pbk.),
2013-13749,MONKEY loves bananas!,,English,,texted and graphed by VINCI Learning,Rullingnet Corporation Limited,978-988-12722-6-3,,pbk.,USD,2.50,,,,,,Hong Kong,2013,14 p. : col. ill. ; 14 x 21 cm.,ViNCi,
2013-12536,"MOORE, Clement Clarke The night before Christmas",,English,,written by Clement Clarke Moore ; illustrated by Lisbeth Zwerger,Michael Neugebauer (Publishing) Limited,978-988-15954-1-6,,,GBP,7.99,,,,,,Hong Kong,2013,unpaged : col. ill. ; 19 cm.,,
2013-15242,MR CLEMENT ji ja cafe,吱喳咖啡店,English,mr clement,,Gezi Workstation,978-988-12264-9-5,,pbk.,$,88.00,,,,,,Hong Kong,2013,160 p. : chiefly col. ill. ; 18 cm.,,
2013-14004,MTR CORPORATION LIMITED MTR Corporation Limited interim report 2013,,English,,,MTR Corporation Limited,,,,,,,,,,,Hong Kong,2013,"53 p. : col. ill., col. maps ; 30 cm.",Unpriced (pbk.),
2013-12360,MUSEUM design proposals,,English,,edited by Helen Liu,Design Media Publishing Limited,978-988-15069-9-3,,,USD,50.00,,,,,,Hong Kong,2013,"269 p. : col. ill., col. plans ; 29 cm.",Includes index,
